# Intensity	Volts (mv)	V err (mv)	current (A)	Temperature (K)	1/T (1/K)	log Vout	err %
30.0000000	31.1200000	0.0500000	0.8700000	1851.8947619	0.0005400	3.4378507	0.0016067
35.0000000	39.8900000	0.0500000	0.9400000	1973.9168112	0.0005066	3.6861257	0.0012534
40.0000000	49.3100000	0.0500000	1.0000000	2095.0642286	0.0004773	3.8981269	0.0010140
45.0000000	59.8300000	0.0500000	1.0700000	2184.2016150	0.0004578	4.0915072	0.0008357
50.0000000	69.7300000	0.0500000	1.1300000	2278.4135858	0.0004389	4.2446306	0.0007171
55.0000000	79.2400000	0.0500000	1.1800000	2379.0846016	0.0004203	4.3724812	0.0006310
60.0000000	89.4500000	0.0500000	1.2400000	2454.2390077	0.0004075	4.4936798	0.0005590
65.0000000	99.4000000	0.1000000	1.2900000	2538.2946000	0.0003940	4.5991521	0.0010060
70.0000000	110.5000000	0.1000000	1.3500000	2599.4613239	0.0003847	4.7050155	0.0009050
75.0000000	121.4000000	0.1000000	1.4000000	2670.9230656	0.0003744	4.7990909	0.0008237
80.0000000	131.4000000	0.1000000	1.4500000	2737.1090420	0.0003653	4.8782461	0.0007610
85.0000000	141.6000000	0.1000000	1.5000000	2798.5906750	0.0003573	4.9530062	0.0007062
90.0000000	151.9000000	0.1000000	1.5500000	2855.8584417	0.0003502	5.0232224	0.0006583
95.0000000	161.2000000	0.1000000	1.5900000	2924.5379856	0.0003419	5.0826458	0.0006203
100.0000000	170.5000000	0.1000000	1.6400000	2974.3835906	0.0003362	5.1387353	0.0005865
