# Intensity	Volts (mv)	V err (mv)	current (A)	Temperature (K)	1/T (1/K)	log Vout
30.0000000	5.0650000	0.0005000	0.8500000	1888.0446146	0.0005296	1.6223541
35.0000000	7.4690000	0.0005000	0.9300000	1991.5441896	0.0005021	2.0107611
40.0000000	10.0700000	0.0100000	1.0000000	2095.0642286	0.0004773	2.3095607
45.0000000	12.8400000	0.0100000	1.0700000	2184.2016150	0.0004578	2.5525653
50.0000000	15.3900000	0.0100000	1.1200000	2295.3110976	0.0004357	2.7337179
55.0000000	18.0900000	0.0200000	1.1800000	2379.0846016	0.0004203	2.8953593
60.0000000	21.5300000	0.0200000	1.2400000	2454.2390077	0.0004075	3.0694473
65.0000000	24.6500000	0.0200000	1.2900000	2538.2946000	0.0003940	3.2047769
70.0000000	28.1300000	0.0200000	1.3500000	2599.4613239	0.0003847	3.3368366
75.0000000	31.8100000	0.0200000	1.4000000	2670.9230656	0.0003744	3.4597807
80.0000000	35.2900000	0.0200000	1.4500000	2737.1090420	0.0003653	3.5635996
85.0000000	39.1100000	0.0200000	1.5000000	2798.5906750	0.0003573	3.6663782
90.0000000	43.0900000	0.0200000	1.5500000	2855.8584417	0.0003502	3.7632910
95.0000000	47.4100000	0.0200000	1.6000000	2909.3359701	0.0003437	3.8588332
100.0000000	51.2600000	0.0200000	1.6500000	2959.3912324	0.0003379	3.9369107
